Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Audi A6,Automatic,3000.0,Foreign Used,2017,4499999.0
Audi A6,Automatic,2000.0,Foreign Used,2017,3600000.0
Nissan GTR,Automatic,3800.0,Foreign Used,2020,20668140.0
Range Rover Vogue,Automatic,3000.0,Foreign Used,2019,13334700.0
Mercedes Benz GLC 250,Automatic,2000.0,Foreign Used,2018,5985000.0
BMW X5,Automatic,3000.0,Kenyan Used,2015,4499999.0
Subaru WRX S4,Automatic,2000.0,Kenyan Used,2016,3499999.0
Mitsubishi Pajero,Automatic,2800.0,Kenyan Used,1999,899999.0
Subaru Levorg,Automatic,2000.0,Kenyan Used,2017,2499999.0
Nissan March,Automatic,1200.0,Kenyan Used,2011,549999.0
Mercedes Benz S280,Automatic,2800.0,Kenyan Used,2003,1249999.0
Mitsubishi Outlander,Automatic,2300.0,Kenyan Used,2015,2549999.0
Toyota Harrier,Automatic,2000.0,Kenyan Used,2017,3499999.0
Toyota Wish,Automatic,1800.0,Kenyan Used,2005,629999.0
Toyota Hilux,Automatic,3000.0,Kenyan Used,2007,1899999.0
Mercedes Benz GLC 250,Automatic,2000.0,Foreign Used,2018,6479369.0
Porsche Macan,Automatic,2000.0,Foreign Used,2017,5799000.0
Porsche Macan S,Automatic,3000.0,Foreign Used,2017,7215000.0
Porsche Macan GTS,Automatic,3000.0,Foreign Used,2017,8100600.0
Subaru Impreza,Automatic,1500.0,Kenyan Used,2008,829999.0
Peugeot  308,Automatic,1200.0,Foreign Used,2017,1949999.0
Toyota Probox,Automatic,1500.0,Foreign Used,2017,1349999.0
Mazda Atenza,Automatic,2200.0,Kenyan Used,2015,1749999.0
Mercedes Benz GLC 220d,Automatic,2200.0,Foreign Used,2017,5899999.0
Ford Ranger,Manual,3200.0,Kenyan Used,2016,4799999.0
Jaguar E type,Automatic,2000.0,Foreign Used,2020,6099999.0
Jaguar XJ,Automatic,3000.0,Foreign Used,2017,8350000.0
Jaguar F pace,Automatic,5000.0,Foreign Used,2020,14100000.0
Mercedes Benz B180,Automatic,1600.0,Foreign Used,2017,1987000.0
Ford Mustang,Automatic,2300.0,Foreign Used,2017,7556000.0
Toyota Probox,Automatic,1500.0,Foreign Used,2018,1349999.0
Toyota Landcruiser,Automatic,3300.0,Foreign Used,2023,18404000.0
Toyota Mark X,Automatic,2500.0,Foreign Used,2017,2498000.0
Toyota Landcruiser,Automatic,3300.0,Foreign Used,2023,16715000.0
Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2017,3530000.0
Toyota FJ Cruiser,Automatic,4000.0,Foreign Used,2017,4695000.0
Bentley Bentayga,Automatic,6000.0,Foreign Used,2018,21674000.0
Volkswagen Touareg,Automatic,3000.0,Foreign Used,2023,16400000.0
Volkswagen Touareg,Automatic,3000.0,Foreign Used,2023,14300000.0
Toyota Starlet,Automatic,1400.0,Kenyan Used,2021,2399999.0
Mazda CX5,Automatic,2200.0,Kenyan Used,2014,1599999.0
Toyota IST,Automatic,1300.0,Kenyan Used,2003,499999.0
BMW 116i,Automatic,1600.0,Kenyan Used,2014,1349999.0
Toyota Landcruiser Prado,Automatic,3000.0,Kenyan Used,2008,2679999.0
Mazda Demio,Automatic,1300.0,Kenyan Used,2012,689999.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2014,1849999.0
BMW X1,Automatic,2000.0,Kenyan Used,2014,1799999.0
Toyota Mark X,Automatic,2500.0,Kenyan Used,2013,1349999.0
Mercedes Benz C200,Automatic,2000.0,Kenyan Used,2015,3899999.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2015,1899999.0
