,Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price,Make,Model,Car_Age
898,Audi S3,Automatic,2000.0,Foreign Used,2017,3579999.0,Audi,S3,7
899,Toyota Fortuner,Automatic,2800.0,Foreign Used,2019,6299999.0,Toyota,Fortuner,5
900,Mercedes Benz Benz Benz Glc 250,Automatic,2000.0,Foreign Used,2018,4849999.0,Mercedes Benz,Benz Benz Glc 250,6
901,Toyota Noah,Automatic,2000.0,Foreign Used,2018,2886999.0,Toyota,Noah,6
902,Lexus Lx570,Automatic,5700.0,Foreign Used,2019,14552500.0,Lexus,Lx570,5
903,Lexus Nx200T,Automatic,2000.0,Foreign Used,2017,4679999.0,Lexus,Nx200T,7
904,Volkswagen Golf R,Manual,2000.0,Foreign Used,2017,4006500.0,Volkswagen,Golf R,7
905,Porsche Panamera,Automatic,3000.0,Foreign Used,2017,11374600.0,Porsche,Panamera,7
906,Audi Tt Rs,Automatic,2500.0,Foreign Used,2017,9802000.0,Audi,Tt Rs,7
907,Nissan Gtr,Automatic,3800.0,Foreign Used,2017,14750000.0,Nissan,Gtr,7
908,Bmw 740I,Automatic,3000.0,Foreign Used,2017,5795000.0,Bmw,740I,7
909,Bmw X4,Automatic,3000.0,Foreign Used,2022,12988000.0,Bmw,X4,2
910,Bentley Continental Gt,Automatic,6000.0,Foreign Used,2018,25249000.0,Bentley,Continental Gt,6
911,Bentley Flying Spur,Automatic,4000.0,Foreign Used,2018,16397000.0,Bentley,Flying Spur,6
912,Bmw X1,Automatic,2000.0,Foreign Used,2017,3560000.0,Bmw,X1,7
913,Mercedes Benz Benz Benz Gle350D,Automatic,3000.0,Foreign Used,2017,7235000.0,Mercedes Benz,Benz Benz Gle350D,7
914,Bmw X5,Automatic,4400.0,Foreign Used,2020,20120000.0,Bmw,X5,4
915,Audi A5,Automatic,2000.0,Foreign Used,2019,5378400.0,Audi,A5,5
916,Mercedes Benz Benz Benz Glc 250,Automatic,2000.0,Foreign Used,2018,5679999.0,Mercedes Benz,Benz Benz Glc 250,6
917,Range Rover Sport,Automatic,3000.0,Foreign Used,2018,10999999.0,Range Rover,Sport,6
918,Jaguar Xf,Automatic,2000.0,Foreign Used,2017,4929999.0,Jaguar,Xf,7
919,Audi Q8,Automatic,3000.0,Foreign Used,2019,13917135.0,Audi,Q8,5
920,Nissan Note,Automatic,1200.0,Kenyan Used,2014,789999.0,Nissan,Note,10
