Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Mercedes Benz C200,Automatic,2000 CC,Kenyan Used,2008,"KES 1,499,999"
Toyota Harrier,Automatic,2500 CC,Foreign Used,2017,"KES 3,985,000"
Subaru Outback,Automatic,2500 CC,Foreign Used,2018,"KES 3,450,000"
Mazda Demio,Automatic,1500 CC,Kenyan Used,2005,"KES 459,999"
Honda Vezel,Automatic,1500 CC,Kenyan Used,2016,"KES 2,299,999"
Nissan Murano,Automatic,3500 CC,Kenyan Used,2011,"KES 1,199,999"
Subaru Impreza,Automatic,2000 CC,Kenyan Used,2014,"KES 1,249,999"
Nissan Xtrail,Automatic,2000 CC,Foreign Used,2017,"KES 2,511,000"
Volvo XC60,Automatic,2000 CC,Foreign Used,2017,"KES 5,710,000"
Peugeot  2008,Automatic,1200 CC,Foreign Used,2017,"KES 1,999,999"
Nissan GTR,Automatic,3800 CC,Foreign Used,2018,"KES 18,268,140"
BMW 740e,Automatic,2000 CC,Foreign Used,2017,"KES 7,254,000"
Subaru WRX S4,Automatic,2000 CC,Foreign Used,2017,"KES 3,450,000"
Peugeot 3008,Automatic,1600 CC,Foreign Used,2017,"KES 3,589,000"
Volkswagen Arteon,Automatic,2000 CC,Foreign Used,2017,"KES 4,469,000"
Mercedes Benz E220d,Automatic,2000 CC,Foreign Used,2017,"KES 5,310,000"
Mercedes Benz E220d,Automatic,2000 CC,Foreign Used,2017,"KES 4,610,000"
Audi A6,Automatic,2000 CC,Foreign Used,2017,"KES 4,397,454"
Volkswagen Tiguan,Automatic,1400 CC,Foreign Used,2017,"KES 3,540,000"
Toyota Landcruiser VX,Automatic,4200 CC,Kenyan Used,2009,"KES 4,799,999"
Subaru Outback,Automatic,2500 CC,Kenyan Used,2013,"KES 1,649,999"
Nissan Xtrail,Automatic,2000 CC,Kenyan Used,2003,"KES 699,999"
Mercedes Benz C200,Automatic,2000 CC,Kenyan Used,2014,"KES 3,299,999"
Toyota Auris,Automatic,1200 CC,Kenyan Used,2016,"KES 1,899,999"
Audi Q5,Automatic,2000 CC,Foreign Used,2018,"KES 5,199,999"
Volkswagen Polo,Automatic,1600 CC,Kenyan Used,2019,"KES 1,499,999"
Mazda CX3,Automatic,1500 CC,Foreign Used,2017,"KES 2,299,999"
Ford Everest,Manual,2500 CC,Kenyan Used,2014,"KES 1,399,999"
Honda Fit,Automatic,1300 CC,Kenyan Used,2016,"KES 1,280,000"
Toyota Vitz,Automatic,1000 CC,Kenyan Used,2012,"KES 799,999"
Nissan GTR,Automatic,3800 CC,Foreign Used,2017,"KES 14,400,000"
Porsche Cayenne,Automatic,3600 CC,Kenyan Used,2008,"KES 1,699,999"
Audi RSQ8,Automatic,4000 CC,Foreign Used,2020,"KES 23,300,000"
Audi TT RS,Automatic,2500 CC,Foreign Used,2022,"KES 12,680,000"
Audi TT RS,Automatic,2500 CC,Foreign Used,2018,"KES 9,918,000"
BMW X6m,Automatic,4400 CC,Foreign Used,2023,"KES 24,149,000"
BMW X5m,Automatic,4400 CC,Foreign Used,2020,"KES 17,453,000"
BMW X5m,Automatic,4400 CC,Foreign Used,2018,"KES 12,200,000"
BMW X5m,Automatic,4400 CC,Foreign Used,2018,"KES 12,340,000"
Toyota Mark X,Automatic,2500 CC,Kenyan Used,2011,"KES 1,249,999"
Audi A5,Automatic,2000 CC,Kenyan Used,2015,"KES 2,299,999"
Nissan Xtrail,Automatic,2000 CC,Kenyan Used,2006,"KES 679,999"
Toyota Corolla 110,Automatic,1500 CC,Kenyan Used,2000,"KES 399,999"
Nissan Note,Automatic,1200 CC,Kenyan Used,2015,"KES 839,999"
Range Rover Sport SVR,Automatic,5000 CC,Kenyan Used,2016,"KES 13,499,999"
Bentley Bentayga,Automatic,6000 CC,Kenyan Used,2017,"KES 26,999,999"
Mazda Bongo,Automatic,2000 CC,Kenyan Used,2010,"KES 599,999"
Nissan Note,Automatic,1200 CC,Kenyan Used,2015,"KES 1,099,999"
Subaru Forester,Automatic,2500 CC,Foreign Used,2018,"KES 3,899,999"
Audi Q5,Automatic,2000 CC,Foreign Used,2017,"KES 5,399,999"
Porsche Cayenne,Automatic,3000 CC,Kenyan Used,2015,"KES 5,999,999"
Mercedes Benz GLE350d,Automatic,3000 CC,Foreign Used,2017,"KES 8,499,999"
Audi S3,Automatic,2000 CC,Foreign Used,2017,"KES 3,449,999"
Mercedes Benz E220d,Automatic,2200 CC,Foreign Used,2017,"KES 4,749,999"
